Korean,English
하잖아요 ,You know
몰라서 ,Because I don't know
먹으면 ,If you eat it
그렇구나 ,I see 
여잔 ,Woman
그니까 ,That's why
홈즈 ,Holmes
릭 ,Rick
헌트 ,Hunt
오라고 ,Come on
여러분이 ,You guys
입에 ,In the mouth
존스 ,Jones
있으니까요 ,Because it exists
줘서 ,Because I gave it to you
있었나요 ,Was it there?
물어볼 ,Ask
조이 ,Joy
컴퓨터 ,computer 
상황은 ,The situation is
싶네요 ,I want to
봤다고 ,I saw it
붙어 ,Stick
복잡한 ,complicated 
보일 ,Boyle
팀을 ,Team
다행이다 ,thank god 
결국엔 ,In the end
물에 ,In the water
화를 ,Angry
자세히 ,In detail
필요하다고 ,I need it
번 ,th 
가시죠 ,Let's go
어두운 ,dark
뛰어난 ,Excellent
여성 ,female 
일인데 ,It's work
변호사 ,lawyer 
지켜 ,Keep
가져왔어 ,I brought it
바래 ,Hope
말해서 ,Speaking
주 ,main 
놈이야 ,That guy
태어난 ,Born
나가면 ,When you go out
낫지 ,Better
이들은 ,These are
나머지는 ,The rest
돼지 ,pig 
저걸 ,That
해리 ,Harry
옛 ,ancient 
동네 ,neighborhood
정말이지 ,Really
고칠 ,Fix it
이야기가 ,The story
끝이 ,The end
인간은 ,Humans
하킴 ,Hakim
능력이 ,Ability
전체 ,entire 
대신에 ,Instead
깊이 ,Depth
어딨지 ,Where are you?
같다고 ,Same
벽에 ,On the wall
이상은 ,This is
탈 ,escape
언젠가는 ,Someday
그림 ,painting 
그보다 ,Than that
없었던 ,There was no
있군요 ,There it is
어쩌고 ,What's going on?
책임을 ,Take responsibility
말씀을 ,I said
아멘 ,amen 
우주 ,universe 
중에서 ,Among
때를 ,When
앉아요 ,Sit down
여섯 ,six
순간을 ,The moment
보려고 ,To see
기억하지 ,I don't remember
죽였어요 ,I killed him
하루에 ,In a day
그린 ,green 
사무실에 ,In the office
손님이 ,The guest
이해해요 ,I understand
전쟁이 ,The war
비가 ,It's raining
년 ,year 
왕 ,king 
것들은 ,Things
나을 ,Better
녀석을 ,That guy
때문이에요 ,Because of that
그렇겠죠 ,I guess so
몸은 ,The body
지킬 ,Jekyll
마틴 ,Martin
카드 ,card 
모르겠습니다 ,I don't know
좋았어요 ,It was good
공주님 ,princess 
어떻게요 ,How is it?
달라요 ,It's different
했거든 ,I did it
뜻이죠 ,That's what it means
해치지 ,Don't hurt
받아요 ,Accept it
잘됐네요 ,That's good
어머니를 ,Mother
꺼 ,turn off 
맡아 ,Take charge
비행기를 ,The plane
이러고 ,Like this
알겠네 ,"Okay, I see"
계획 ,plan 
노아 ,Noah
그래야지 ,That's right
우리에겐 ,For us
신호가 ,The signal
슬픈 ,sad 
내일은 ,Tomorrow
인해 ,Because of
잃고 ,Lost
지미 ,Jimmy
이름도 ,The name too
수술실에 ,In the operating room
가져가 ,Take it
남을 ,Others
주변에 ,Around
엄마와 ,With mom
않다 ,No
움직일 ,Move
그런거야 ,That's it
혈액 ,blood
꼬마야 ,Little boy
피해 ,damage 
확실해요 ,I'm sure
다니는 ,Dani
사랑한다고 ,I love you
이곳에서 ,Here
권리가 ,The right
되나 ,Can it be done?
필립 ,Philip
유일하게 ,The only one
겠어 ,I will
하는거 ,Doing it
재미 ,fun 
해야겠어 ,I have to do it
접근 ,Access
에디 ,Eddie
선을 ,The line
생각에는 ,In my opinion
로버트 ,Robert
동생을 ,My younger brother
떠나는 ,Leaving
돌아와서 ,Come back
식사 ,meal 
무엇이 ,What is
했거든요 ,I did it
먹은 ,Ate
코너 ,corner 
상관없어요 ,It doesn't matter
목에 ,On the neck
춤 ,dance
부모님은 ,My parents
데이브 ,Dave
비 ,rain 
마리 ,number of animals 
못된 ,Bad
있었지만 ,But there was
축하해요 ,congratulation 
같았어 ,It was the same
사라진 ,disappeared
대화 ,conversation 
엘리엇 ,Elliot
관계가 ,The relationship
됐네요 ,Okay
아내와 ,With my wife
얘기도 ,Talk too
멈춰요 ,Stop
왓슨 ,Watson
저번에 ,Last time
볼게요 ,I'll see
이란 ,Iran
음악을 ,Music
대장 ,Captain
건데요 ,That's right
아줌마 ,Auntie
인생에서 ,In life
총알이 ,The bullet
들지 ,Don't listen
국장님 ,Director
방법 ,method 
끝에 ,At the end
되니까 ,Because it works
죽이려 ,To kill
되겠어 ,It'll work
관련이 ,Related
있구나 ,There it is
사람들한테 ,To people
되는지 ,Is it possible?
위해서요 ,For the sake of
안된다고 ,I said no
저녁에 ,In the evening
어떠한 ,Any
말했잖아요 ,I told you
맞춰 ,Match
못하겠어 ,I can't do it
했었어 ,I did
자요 ,sleep 
하겠지 ,I will do it
설명할 ,To explain
자유를 ,Freedom
뜻이 ,Meaning
했었지 ,I did
편하게 ,comfortably
높이 ,height 
찾아봐 ,Look it up
매 ,hawk 
당시 ,at that time 
해가 ,The sun
법 ,law 
어디가 ,Where are you
만에 ,After a long time
키루밍 ,Kiruming
명은 ,The name is
잠이 ,Sleep
모습이 ,Appearance
듣기 ,Listen
파는 ,Selling
새벽 ,dawn 
둘을 ,Two
그려 ,Draw
외과 ,Surgery
같으니 ,Same
카논 ,Canon
달러를 ,Dollar
침대에서 ,In bed
제안을 ,Make a suggestion
범죄 ,crime
보기엔 ,It looks like
진정 ,Calm
다행이야 ,thank god 
나이가 ,Age
캡틴 ,Captain
사람으로 ,As a person
배에 ,On the boat
되길 ,I hope so
살게 ,Live
어머나 ,Oh my god
끝 ,end 
잘못이야 ,It's wrong
있는거지 ,It exists
둘이서 ,The two of us
풀어 ,Let go
엉덩이 ,buttocks
잊고 ,Forget it
부탁 ,ask 
통해서 ,Through
거기로 ,There
힘들게 ,With difficulty
폭탄을 ,Bomb
해주고 ,And do it
읽고 ,Read
이곳은 ,This place is
만일 ,If
시작한 ,Started
그도 ,He too
와줘서 ,Thank you for coming
말해줄 ,Tell me
싫다고 ,I don't like it
여러분의 ,Your
딸은 ,My daughter
이해를 ,Understanding
뭘요 ,What is it?
있는걸 ,It exists
손가락 ,Finger
수술실에서 ,In the operating room
나처럼 ,Like me
공격 ,attack
같아서요 ,Because it's the same
있었네 ,There was
같았어요 ,It was the same
않겠어 ,I won't
사랑하고 ,I love you
갖게 ,Have
없단다 ,There isn't any
명을 ,Name
와봐 ,Come here
나오면 ,When you come out
릴리가 ,Lily
타는 ,burning
주려고 ,To give
아시잖아요 ,You know
땅을 ,The land
이곳을 ,This place
말해주지 ,I'll tell you
부분을 ,Part
상태로 ,In status
도로 ,road name 
이유로 ,For some reason
살아요 ,I'm alive
마음은 ,The heart
배포 ,distribution 
드리죠 ,I'll give it to you
내고 ,I'm going out
왔는지 ,Have you come?
들 ,field 
웨버 ,Weber
말했던 ,I said
먹으러 ,To eat
진지하게 ,Seriously
얘기하지 ,Don't talk
줄을 ,Line
여자의 ,Women's
원하면 ,If you want
해야만 ,I have to
들어와요 ,Come in
목이 ,Sore throat
책임이 ,Responsibility
만들었어요 ,I made it
미란다 ,Miranda
이쪽 ,This way
버릴 ,Throw away
키 ,key 
해본 ,Tried
런던 ,London
먹었어 ,I ate
봅니다 ,I see
지냈어 ,I've been there
후로 ,After
개인적으로 ,Personally
거나 ,Or
지금쯤 ,By now
살인을 ,Murder
여자들이 ,The women
됐나 ,Okay
캘리 ,Cali
아래에 ,Below
뭐가요 ,What is it?
생길 ,Will happen
은행 ,bank 
결혼할 ,To get married
바비 ,Barbie
아버지와 ,With my father
편지 ,letter 
않았고 ,Didn't
안되지 ,No way
말대로 ,As you said
볼게 ,I'll see
상황 ,situation 
되서 ,So
누구라도 ,Anyone
누워 ,Lie down
보이고 ,I see
삼촌이 ,My uncle
스티브 ,Steve
치료 ,therapy 
년 ,year 
그놈이 ,That guy
여자들은 ,The women
하거든 ,If you do it
있었다면 ,If there was
엘리스 ,Ellis
들어온 ,Came in
해낼 ,I can do it
알려 ,Let me know
들면 ,If you listen
상상도 ,imagination
단순히 ,Simply
시작했어 ,I started
몰리 ,Molly
전체가 ,The whole thing
도망쳐 ,Run away
안녕하십니까 ,hello 
하던데 ,They said
들어오세요 ,Come in
하다니 ,Hadani
정확한 ,accurate 
보냈어요 ,I sent it
부스 ,Booth
마리아 ,Maria
적절한 ,appropriate 
데가 ,Dega
않소 ,No
대기 ,atmosphere 
잃었어 ,I lost it
트럭 ,truck
개자식 ,Son of a bitch
견딜 ,Endure
재밌게 ,Have fun
너처럼 ,Like you
쉬고 ,Rest
위험해요 ,It's dangerous
천 ,cloth 
생각하나 ,Do you think
에릭 ,Eric
들으면 ,If you listen
다만 ,but 
데이빗 ,David
선생님을 ,Teacher
만났어 ,I met you
시키는 ,Shikini
짐을 ,Luggage
윌슨 ,Wilson
오웬 ,Owen
남자의 ,Man's
기다려봐 ,Wait a minute
부인은 ,My wife
짓은 ,I did it
충분해 ,Enough
나와요 ,Come out
케이트 ,Kate
앤디 ,Andy
꼼짝 ,Freeze
전투 ,battle
없겠지 ,There won't be any
탄 ,Carbon
브라이언 ,Brian
키스 ,kiss 
대해서는 ,About
안전하지 ,Not safe
무언가를 ,something
게이 ,gay
되잖아요 ,It's possible
형제 ,sibling 
적을 ,Enemy
폭탄 ,bomb
않을거에요 ,I won't
그들과 ,With them
확인하고 ,Check it out
한테 ,To Hanta
교수님 ,professor 
불가능해 ,Impossible
않았지만 ,But I didn't
하겠어요 ,I will do it
속의 ,Inside
흥미로운 ,Interesting
일곱 ,seven
씨를 ,Seed
내로 ,Into
남자랑 ,With a man
따뜻한 ,warm
섹스를 ,Have sex
있대요 ,They say it exists
말고요 ,"No, not really"
성하 ,Your Holiness
영웅이 ,The hero
무언가 ,something
너만 ,Only you
먹지 ,Don't eat
사라 ,Sarah 
거란다 ,It's called Georanda
으 ,eww 
숙녀 ,Lady
아니까 ,No
잤어 ,I slept
토미 ,Tommy
포기하지 ,Don't give up
안되 ,No way
되네 ,It works
드는 ,It's coming
슬론 ,Sloan
틀림없이 ,Without a doubt
친구들을 ,Friends
생겼어요 ,It looks like this
수업 ,class 
걸까요 ,Should I do it?
있구요 ,There is
시 ,city ​​
하길 ,I hope so
가는데 ,On the way
머피 ,Murphy
바꿔 ,Change
사람이랑 ,With people
놀고 ,Playing
세계를 ,The world
아니란다 ,No
귀찮게 ,Annoying
열쇠를 ,The key
당신에 ,To you
잘해 ,Good job
훔친 ,Stolen
전까지는 ,Until then
속으로 ,Inside
대답해 ,Answer me
잠 ,sleep 
최고야 ,It's the best
세상에나 ,Oh my god
루이스 ,Louis
보면서 ,While watching
롭 ,Rob
기분은 ,I feel
조심 ,Be careful
년 ,year 
되는거야 ,It's possible
알겠나 ,Do you understand?
이제부터 ,From now on
그것에 ,On it
일어나지 ,Wake up
특별히 ,Especially
잃어버린 ,Lost
때문입니다 ,Because
대고 ,Daego
사무실에서 ,At the office
부분이 ,Part
새끼가 ,The baby
심한 ,severe
주의 ,caution 
똑같아 ,Same
사건은 ,The incident
치즈 ,cheese 
들어가는 ,Going in
매년 ,Every year
문제에 ,In the problem
일어나서 ,Get up
목 ,neck 
안전을 ,Safety
빚을 ,Debt
거리를 ,The distance
맛있는 ,delicious 
이번에는 ,This time
맞았어요 ,That's right
시간도 ,Time too
되었습니다 ,It's done
의하면 ,According to
감정이 ,Feelings
열고 ,Open
빈센트 ,Vincent
박사가 ,The doctor
안전 ,safety 
당신네 ,You guys
닥치고 ,Shut up
양이 ,Sheep
벽을 ,the wall
잭슨 ,Jackson
감정 ,emotion 
가야겠어 ,I have to go
왔구나 ,You're here
복수를 ,Revenge
생각했던 ,I thought
과연 ,indeed 
편이 ,Convenience
아프게 ,It hurts
맞을 ,Right
형을 ,My brother
아닐까 ,Maybe
뭔가요 ,What is it?
써요 ,I'm using it
궁금해 ,curious 
이용해 ,Use it
전기 ,electricity 
되세요 ,Please be
알렉스가 ,Alex
붉은 ,red
개월 ,months
아무데도 ,Nowhere
원하는게 ,What you want
죄송한데 ,I'm sorry
때문이 ,Because
시작했어요 ,I started
섹시한 ,sexy
너나 ,You or me
도와드릴까요 ,Can I help you?
신사 ,gentleman
왔죠 ,I'm here
찾았다 ,Found it
목소리가 ,The voice
길은 ,The road is
부탁이야 ,Please
칠 ,Seven
사라졌어 ,It's gone
이번에 ,This time
돌아가고 ,Go back
생각했죠 ,I thought
텐데요 ,I guess so
누구를 ,Who
사업을 ,Do business
살지 ,Live
친구들은 ,Friends
정부 ,government 
시험 ,test 
운명을 ,Fate
거겠지 ,I guess so
백인 ,white people
얻은 ,Got
괴물이 ,The monster
없는데요 ,There isn't any
수술실 ,operating room
느끼는 ,I feel
해야죠 ,I have to do it
없었습니다 ,There wasn't any
그러길 ,I hope so
그럴지도 ,Maybe so
끝낼 ,Finish
없단 ,None
잘난 ,smart
계속해 ,Keep going
도저히 ,No way
왕의 ,King's
기뻐 ,I'm glad
바보같은 ,Stupid
무슨일이야 ,what's the matter 
전쟁은 ,The war is
살릴 ,Save
택시 ,taxi 
찍은 ,Taken
조만간 ,Sooner or later
진정하세요 ,Calm down
대답을 ,Answer
평화를 ,Peace
테디 ,Teddy
용감한 ,Brave
맞은 ,Right
돌아왔어 ,I'm back
시작하자 ,Let's get started
작년에 ,Last year
묻는 ,Asking
하거든요 ,I'm doing it
브라보 ,Bravo
글을 ,Writing
토마스 ,Thomas
왔다고 ,I came
바란다 ,I hope
났어요 ,It happened
시간 ,hour 
불가능한 ,Impossible
뇌 ,brain
넘게 ,Over
상처가 ,The wound
그럴게요 ,I will do that
정확하게 ,accurately 
혼자가 ,Alone
점은 ,The point is
이사 ,move 
없군요 ,There isn't any
임신 ,pregnancy 
그림을 ,Picture
속도를 ,Speed ​​up
잔뜩 ,A lot
알았다고 ,I got it
떠나야 ,I have to leave
에드워드 ,Edward
토니 ,Tony
하진 ,Hajin
준비됐어요 ,I'm ready
세워 ,Stand up
여름 ,summer 
감독 ,Director
만지지 ,Don't touch
저기에 ,Over there
보여주고 ,Show me
대충 ,roughly
경 ,kyung 
친구도 ,Friends too
장소를 ,The place
어떡하지 ,What should I do?
이해하지 ,I don't understand
많고 ,There are many
아무거나 ,anything 
조지가 ,George
신경을 ,Nerves
악마가 ,The devil
자랑스러워 ,I'm proud
규칙을 ,Rules
굴지 ,Gulgji
말인가 ,Is that right?
저기서 ,Over there
시체 ,corpse
임무 ,Mission
하기로 ,To do
쉬 ,pee 
어쩜 ,How come
누나가 ,My older sister
가야해 ,I have to go
하든 ,Harden
배운 ,learned
떠나고 ,Leaving
아야 ,ouch 
감옥 ,prison
오전 ,morning 
사망 ,death
창문 ,window 
가족과 ,With family
보네 ,I see
걱정은 ,Worry is
잡았다 ,Got it
제리 ,Jerry
당겨 ,Pull
맞고 ,Right
방식으로 ,In a way
돌아오면 ,When you come back
리코 ,Rico
각 ,each 
라그나 ,Ragnar
벗어 ,Take it off
데려 ,Take
줄래요 ,Do you want to give it to me?
방법으로 ,By way of
일어나고 ,Get up
알어 ,I know
바람이 ,The wind
갔지 ,I went
이용해서 ,By using
들어올 ,Come in
없다고요 ,No
안해요 ,I don't do it
읽어 ,Read
쓰면 ,If you write
마을을 ,The village
조금이라도 ,Even a little bit
어디든 ,Anywhere
번에 ,At once
미안하네 ,I'm sorry
건드리지 ,Don't touch
대령님 ,Colonel
언젠간 ,Someday
알기 ,Know
구하고 ,Save me
해주지 ,Don't do it
번 ,th 
자긴 ,Honey
찾게 ,Find it
데려갈 ,Take away
만나면 ,When we meet
조사를 ,Investigation
바래요 ,I hope so
더그 ,Doug
오줌 ,pee 
없었고 ,There wasn't any
생각했지 ,I thought
운 ,luck 
갔는데 ,I went
지키고 ,Keep it
재판장님 ,Your Honor
종종 ,Often
못하겠어요 ,I can't do it
병원으로 ,To the hospital
죽어가고 ,Dying
했다는 ,Did
고맙지만 ,"Thank you, but"
엔진 ,engine
거기다 ,There
같진 ,Same
레지던트 ,Resident
두지 ,Dooji
언니는 ,My sister
살면서 ,As I live
각하 ,Your Excellency
훌륭해 ,Great
애들한테 ,To the kids
차고 ,garage 
촬영 ,filming 
스트레스 ,stress 
여기에서 ,Here
의사를 ,The doctor
내는 ,I am
지는 ,Losing
바람을 ,The wind
어느날 ,One day
알지도 ,I don't even know
블랙 ,black 
않았나 ,Didn't you
지키는 ,Guarding
시신을 ,The body
애초에 ,In the first place
있을게 ,I'll be there
연방 ,Federation
그분은 ,He is
고통 ,pain 
하시죠 ,Let's do it
걸렸어 ,I got caught
비밀로 ,In secret
결혼한 ,Married
들어와서 ,Come in
당한 ,suffered
나라를 ,The country
그런건 ,That kind of thing
지내고 ,I'm staying
어딘지 ,Somewhere
즐겁게 ,Have fun
연구 ,research 
허나 ,However
뜻인지 ,What does it mean?
줄게요 ,I'll give it to you
솔직하게 ,Honestly
나리 ,lily 
아닌데요 ,"No, it's not"
서류 ,document 
가슴이 ,My heart
안했어요 ,I didn't do it
작전을 ,The operation
것이고 ,It is
대가를 ,The price
일본 ,japan 
온갖 ,All kinds of
장난해 ,Are you kidding me?
현장에서 ,On the spot
영상을 ,The video
말씀이 ,The words
왔나 ,Are you here?
시스템 ,System
대부분은 ,Most of them
데릭이 ,Derek
하고요 ,And
아이스크림 ,ice cream 
원했던 ,wanted
엄마야 ,Mom
엉덩이를 ,Butt
버스 ,bus 
돌아가야 ,I have to go back
부탁해요 ,Please
혈압이 ,Blood pressure
묻지 ,Don't ask
핸드폰 ,cell phone 
모르게 ,Without knowing
멍청아 ,Idiot
준비하고 ,Prepare and
유카와 ,Yukawa
처리할 ,To be processed
정말이에요 ,It's true
뜻이지 ,That's what it means
비싼 ,expensive
잃게 ,Lose
허 ,her 
올거야 ,I'll come
잡는 ,catch
벽 ,wall 
부탁해 ,Please
눈은 ,The eyes
배고파 ,hungry 
주로 ,mostly 
저것 ,That
놔두고 ,Leave it alone
남자들은 ,Men
구멍을 ,hole
했나요 ,Did you do it?
일만 ,Ten thousand
힘들 ,It's hard
돈으로 ,With money
우연히 ,by chance 
시스템을 ,The system
대위님 ,Captain
애기 ,baby 
가져왔어요 ,I brought it
않는다는 ,I don't say no
없었는데 ,There wasn't any
총이 ,The gun
너희를 ,You guys
말했듯이 ,As I said
네이단 ,Nathan
자식아 ,Son
무 ,radish 
조엘 ,Joel
받으면 ,If you receive it
사실대로 ,To be honest
않습니까 ,Isn't it?
뜨거운 ,hot
멋지네요 ,That's cool
같고 ,Same
오버 ,Over
상황에서 ,In the situation
편히 ,At ease
말해도 ,Even if I say it
좋겠네 ,That would be nice
때문이다 ,Because
파트너 ,partner 
존재하지 ,Doesn't exist
감시 ,surveillance
공 ,ball 
돕는 ,Helping
것이오 ,That's it
클리어 ,Clear
위 ,stomach 
누구시죠 ,Who are you?
앞으로도 ,In the future too
올리버 ,Oliver
홀로 ,Alone
신이시여 ,Oh my god
그래서요 ,That's why
왜그래 ,what's the matter 
덕에 ,Thanks to
상대가 ,The opponent
그쵸 ,Right?
아시겠죠 ,You know what I mean
위험 ,danger 
나라면 ,If I were you
인턴 ,Intern
그럴거야 ,That's right
거였어요 ,That was it
서둘러요 ,Hurry up
님 ,sir 
병 ,party 
점이 ,Dot
치료제를 ,The cure
시작하면 ,When you start
누군가의 ,Someone's
못할거야 ,I can't do it
긴급 ,emergency 
아무나 ,Anyone
자기를 ,Self
리디아 ,Lydia
정부가 ,The government
그러니깐 ,So
싱크 ,sink
말이예요 ,That's what I'm saying
작업을 ,Do the work
아니라고요 ,"No, I said no"
마이 ,my 
기술을 ,Technology
느끼고 ,I feel
출발 ,depart 
언제든지 ,whenever 
나간 ,went out
들어서 ,Enter
젠장할 ,Damn it
꽃 ,flower 
동물 ,animal 
과장님이 ,The manager
묻고 ,Ask
짧은 ,short
가슴에 ,In the chest
도시에 ,In the city
다르지 ,It's different
백 ,hundred 
죽었다 ,died
여자애 ,girl
구해 ,Save me
무서워요 ,I'm scared
분 ,minute 
딱히 ,Not really
코 ,nose 
제이슨 ,Jason
볼래 ,Want to see
있냐 ,Is it there?
또다른 ,Another
드레스 ,dress
사이 ,between 
하나야 ,One
사이가 ,Saiga
남자친구 ,boy friend 
부분은 ,The part is
남자와 ,With a man
않겠지 ,I don't think so
운전 ,drive 
선장님 ,Captain
늦은 ,late
거에 ,There
밤이 ,The night
삶에 ,In life
영원한 ,Eternal
좋아서 ,Because I like it
갔을 ,Went
최대 ,Maximum
쪽에 ,On the side
무섭네 ,It's scary
바다 ,ocean 
앨런 ,Alan
졸라 ,Zola
오후에 ,In the afternoon
애나 ,Anna
자네와 ,With you
될거에요 ,It will work
긴장 ,nervous 
폭풍이 ,The storm
마저 ,Even
연락해 ,Contact me
가슴을 ,chest
빌어 ,borrow
나가게 ,Go out
밤은 ,The night is
사건의 ,of the incident
주말에 ,On the weekend
하얀 ,white
한대 ,One
시체가 ,The corpse
참아 ,Hold on
스타크 ,Stark
암 ,cancer 
론 ,Ron
본적이 ,Where is your hometown?
테스트 ,test 
아서 ,Arthur
통 ,container 
집도 ,House
뭐에 ,What
약속할게 ,I promise
찍고 ,Take a picture
찍어 ,Take a picture
죽었을 ,I would have died
확 ,sudden 
나라 ,country 
배울 ,Learn
위해선 ,For this reason
많아서 ,Because there are many
시애틀 ,Seattle
너에 ,To you
윌리엄 ,William
어떨까요 ,What do you think?
해줄게 ,I'll do it
영광입니다 ,It's an honor
공연 ,Performance
자체가 ,itself
자신 ,Confidence
하나씩 ,One by one
상태를 ,Status
장군님 ,General
읽을 ,Read
꺼내 ,Take it out
옆에서 ,From the side
흑인 ,black people
사람이라고 ,As a person
총은 ,The gun
현장에 ,On the scene
잡아요 ,Hold on
다녀 ,Go
근처 ,around 
빛을 ,Light
테니까요 ,Because it is
꼴을 ,The shape
나오고 ,Come out
해군 ,Navy
종양이 ,The tumor
이것을 ,This
따윈 ,That kind of thing
모르니까 ,Because I don't know
방이 ,The room
길로 ,On the road
않았는데 ,I didn't
바보야 ,you idiot 
발견한 ,Found
나오지 ,Come out
일 ,Day 
메이 ,May
괴물 ,monster
하더군 ,He said
했소 ,I did it
말할게 ,I'll tell you
번호 ,number 
마을에 ,In the village
베일리가 ,Bailey
온다고 ,He said he was coming
됐다고 ,Okay
넷 ,Net
기다려야 ,I have to wait
집어 ,Pick up
강하게 ,Strongly
당신들을 ,You guys
잘했어요 ,good job 
했다면 ,If you did
그렇다 ,Yes
알아낼 ,Find out
그놈 ,That guy
여자친구 ,girl friend 
지낼 ,Stay
주인이 ,The owner
그렇소 ,"Yes, that's right"
완벽해 ,Perfect
않았다고 ,I didn't say anything
존재를 ,existence
모두의 ,Everyone's
작업 ,work 
그레이스 ,Grace
주요 ,Main
걔를 ,Him
늦어서 ,Because it's late
날을 ,Day
자기는 ,Honey
그녀도 ,She too
있었다는 ,There was
천만에요 ,you're welcome 
조심하세요 ,be careful 
사라져 ,Disappear
케프너 ,Kepner
죽였다고 ,I killed him
아무한테도 ,To no one
레이첼 ,Rachel
막아 ,Stop it
의료 ,Medical
마시오 ,Masio
현명한 ,wise
이유야 ,That's why
내려와 ,Come down
없음 ,doesn't exist 
잊을 ,Forget
하려면 ,To do
한동안 ,For a while
닫아 ,Close
스캇 ,Scott
공식적으로 ,Officially
여기를 ,Here
걱정이 ,I'm worried
그러네 ,That's right
무고한 ,Innocent
발견 ,Discovery
할거에요 ,I will do it
노는 ,Playing
뚫고 ,Break through
빅터 ,Victor
끝내주는 ,It's awesome
나하고 ,With me
그랬던 ,That was it
봤잖아 ,You saw it
내릴 ,Get off
다물어 ,Shut up
없거든요 ,There isn't any
같지만 ,Same but
나한테서 ,From me
나가지 ,Go out
대단히 ,very 
느낌 ,Feeling
병이 ,Bottle
양반 ,nobleman
수술실로 ,To the operating room
만났을 ,I met
낯선 ,stranger
않을까요 ,Wouldn't it be
울지 ,Don't cry
싫으면 ,If you don't like it
경고 ,warning 
탐정 ,detective
사진이 ,The photo
이라는 ,called
괜찮아질 ,It'll be okay
사악한 ,evil
그야 ,Yeah
· ,·
보렴 ,Look
믿어야 ,Have to believe
애한테 ,To the child
사이의 ,Between
않거든 ,If not
기사 ,article 
병원을 ,The hospital
사소한 ,minor
마침 ,Finally
어쨋든 ,Anyway
여기도 ,Here too
안젤라 ,Angela
저녁을 ,Dinner
왼쪽으로 ,To the left
위치 ,location 
당장은 ,For now
겠어요 ,I will
노력 ,effort 
바지 ,pants 
멋지다 ,awesome 
아닙니까 ,Isn't it?
요원이 ,The agent
세계에서 ,In the world
중인 ,In the middle
다니엘 ,Daniel
보아하니 ,As you can see
계셔 ,You are here
것이지 ,That's it
하는건 ,What I'm doing is
임무는 ,The mission is
의식을 ,Consciousness
빵 ,bread 
수만 ,Tens of thousands
없어도 ,Even without it
정신과 ,Psychiatry
질문은 ,The question is
얼마든지 ,As much as you want
믿기 ,Believe
들어간 ,Entered
제말은 ,What I mean is
말일세 ,It's the end
집중해 ,Focus
파리 ,fly 
어떤가요 ,How is it?
마무리 ,finish 
놀랄 ,Surprise
보이게 ,Make it visible
방향으로 ,In the direction
경기 ,game 
예뻐 ,Pretty
특별 ,Special
뭐하러 ,What are you doing?
테고 ,Tego
도와줄게 ,I'll help you
말자 ,Let's stop
북쪽 ,North
주변 ,surroundings
메시지 ,message 
만들어서 ,Make it
좋군 ,Good
제작 ,produce 
피곤해 ,I'm tired 
말해주세요 ,Please tell me
발견했어요 ,I found it
밋첼 ,Mitchell
공을 ,The ball
쉬는 ,Resting
움직이는 ,moving
알겠니 ,Do you understand?
참을 ,Patience
간호사 ,nurse 
번 ,th 
한다고요 ,I said I would do it
구하러 ,To rescue
그리고는 ,And then
나아 ,Better
소문이 ,Rumor has it
웃고 ,Laughing
아파트 ,apartment 
헛소리 ,Nonsense
악마 ,devil 
살려줘 ,Save me
한게 ,Hange
배는 ,The ship
먹자 ,Let's eat
코드 ,Code
하지도 ,Not even
인생에 ,In life
겁을 ,Fear
분 ,minute 
물건이 ,The thing
올바른 ,Correct
불구하고 ,Despite
하신 ,Hasin
되었다 ,It became
살았어 ,I lived
돌아가면 ,When you go back
노 ,paddle 
콜 ,call 
나가고 ,Go out
산소 ,oxygen
가는거야 ,I'm going
떨어지고 ,Falling
땜에 ,Because of that
뭐래 ,what 
자유롭게 ,freely
안의 ,Inside
던져 ,Throw
만들었지 ,I made it
냄새를 ,The smell
등을 ,Back
아버지도 ,Father too
신호 ,signal
거기가 ,There
제인 ,Jane
좋겠는데 ,That would be nice
쟤는 ,He is
말아 ,Stop it
쇼를 ,The show
기회는 ,Opportunity is
할래요 ,I want to do it
켈리 ,Kelly
했었죠 ,I did
집이야 ,It's home
에이프릴 ,April
말인가요 ,Are you talking?
천만에 ,you're welcome 
한번만 ,Just once
노력하고 ,Trying hard
비켜요 ,Get out of the way
때론 ,Sometimes
가족의 ,Family's
그만하고 ,Stop it
너희들을 ,You guys
속이 ,Inside
기사를 ,The article
조금씩 ,Little by little
꿈이야 ,It's a dream
의견을 ,Opinion
안하고 ,Not doing it
그랬잖아 ,That's right
브루스 ,Bruce
무사히 ,Safely
쓸데없는 ,Useless
이해합니다 ,I understand
주위를 ,Around
해봤어 ,I tried it
잘못한 ,Wrong
부디 ,please 
로빈스 ,Robbins
해피 ,Happy
숲 ,forest
렉시 ,Lexi
잊어버려 ,Forget it
매기 ,Maggie
뭐랄까 ,What should I say?
벗고 ,Take off your clothes
그랬으면 ,If that were the case
강아지 ,puppy 
말했다 ,Said
먹어요 ,eat 
주실래요 ,Would you like to give it to me?
거군 ,Giant
빅 ,Big
약이 ,Medicine
자리가 ,The seat
흔적이 ,There is a trace
판 ,board 
싸움을 ,Fight
그럴까 ,Is that so?
해야해 ,I have to
가방을 ,The bag
우는 ,crying
빛이 ,The light
조용 ,Quiet
떠났어 ,I left
하며 ,And
머리는 ,The head
대단해 ,amazing 
울고 ,Crying
여러분은 ,You guys
죽음이 ,Death
안드레 ,Andre
